ONSConstID,ConstituencyName,RegionID,RegionName,CountryID,CountryName,DateThisUpdate,DateOfDataset,Pop0-19ConstNum,Pop0-19ConstRate,Pop20-64ConstNum,Pop20-64ConstRate,Pop65ConstNum,Pop65ConstRate,PopTotalConstNum,Pop0-19RegNum,Pop0-19RegRate,Pop20-64RegNum,Pop20-64RegRate,Pop65RegNum,Pop65RegRate,PopTotalRegNum,Pop0-19UKNum,Pop0-19UKRate,Pop20-64UKNum,Pop20-64UKRate,Pop65UKNum,Pop65UKRate,PopTotalUKNum
E14000543,Barrow and Furness,E15000002,North West,K02000001,UK,05/04/16,01/01/14,18831,0.215460131,49526,0.566665522,19042,0.217874346,87399,1689898,0.236912958,4162341,0.583533752,1280752,0.17955329,7132991,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000559,Birkenhead,E15000002,North West,K02000001,UK,05/04/16,01/01/14,22506,0.252360342,51596,0.57854724,15080,0.169092418,89182,1689898,0.236912958,4162341,0.583533752,1280752,0.17955329,7132991,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000570,Blackburn,E15000002,North West,K02000001,UK,05/04/16,01/01/14,32561,0.30424017,60348,0.563873524,14115,0.131886306,107024,1689898,0.236912958,4162341,0.583533752,1280752,0.17955329,7132991,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000571,Blackley and Broughton,E15000002,North West,K02000001,UK,05/04/16,01/01/14,34975,0.301469638,68186,0.587734345,12854,0.110796018,116015,1689898,0.236912958,4162341,0.583533752,1280752,0.17955329,7132991,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000572,Blackpool North and Cleveleys,E15000002,North West,K02000001,UK,05/04/16,01/01/14,17725,0.213025503,46091,0.553938418,19390,0.233036079,83206,1689898,0.236912958,4162341,0.583533752,1280752,0.17955329,7132991,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000573,Blackpool South,E15000002,North West,K02000001,UK,05/04/16,01/01/14,18587,0.232366546,46080,0.576072009,15323,0.191561445,79990,1689898,0.236912958,4162341,0.583533752,1280752,0.17955329,7132991,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000578,Bolton North East,E15000002,North West,K02000001,UK,05/04/16,01/01/14,24566,0.254783808,55357,0.57412958,16496,0.171086612,96419,1689898,0.236912958,4162341,0.583533752,1280752,0.17955329,7132991,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000579,Bolton South East,E15000002,North West,K02000001,UK,05/04/16,01/01/14,29535,0.285671451,58674,0.567512671,15179,0.146815878,103388,1689898,0.236912958,4162341,0.583533752,1280752,0.17955329,7132991,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000580,Bolton West,E15000002,North West,K02000001,UK,05/04/16,01/01/14,22279,0.232902632,55675,0.582021368,17704,0.185076,95658,1689898,0.236912958,4162341,0.583533752,1280752,0.17955329,7132991,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000581,Bootle,E15000002,North West,K02000001,UK,05/04/16,01/01/14,23781,0.242223309,57912,0.589867384,16485,0.167909308,98178,1689898,0.236912958,4162341,0.583533752,1280752,0.17955329,7132991,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000609,Burnley,E15000002,North West,K02000001,UK,05/04/16,01/01/14,21596,0.247402367,50143,0.574434936,15552,0.178162697,87291,1689898,0.236912958,4162341,0.583533752,1280752,0.17955329,7132991,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000611,Bury North,E15000002,North West,K02000001,UK,05/04/16,01/01/14,21616,0.244494463,50780,0.574362919,16015,0.181142618,88411,1689898,0.236912958,4162341,0.583533752,1280752,0.17955329,7132991,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
E14000612,Bury South,E15000002,North West,K02000001,UK,05/04/16,01/01/14,25103,0.253404399,57126,0.576663335,16834,0.169932265,99063,1689898,0.236912958,4162341,0.583533752,1280752,0.17955329,7132991,15259986,0.236234571,37930006,0.587181318,11406760,0.176584111,64596752
